system:index,NDVI,VH,VV,soil_moisture,.geo
152,0.18404514972876115,-15.85742978176258,-7.189490829590647,3.3171350955963135,"{""type"":""Point"",""coordinates"":[73.88705659851121,18.095283826846458]}"
153,0.2715069292660993,-16.99278459984094,-8.475497996833436,5.532749176025391,"{""type"":""Point"",""coordinates"":[74.95038738336379,17.913090080863444]}"
154,0.2418931682233183,-16.816457131874767,-8.380069585151151,7.521735191345215,"{""type"":""Point"",""coordinates"":[76.27346099102301,19.67629443179959]}"
155,0.2245781527531083,-16.302452918024102,-7.214445473709932,4.2642412185668945,"{""type"":""Point"",""coordinates"":[74.46563078919793,18.442026158687895]}"
156,0.2270306107842177,-18.353572032006056,-10.37265510500039,7.476118564605713,"{""type"":""Point"",""coordinates"":[77.94496922728008,20.762060762041465]}"
157,0.15932797662527395,-17.594212655306343,-9.615108583139916,6.538106918334961,"{""type"":""Point"",""coordinates"":[76.93668445838479,18.462386344190566]}"
158,0.22995112414467253,-15.524442558911385,-8.003827648907382,6.617499351501465,"{""type"":""Point"",""coordinates"":[76.79085561906173,21.337546807436407]}"
159,0.28896854764107305,-16.970565348272096,-9.220149605366688,6.2690911293029785,"{""type"":""Point"",""coordinates"":[74.95190145825313,20.056705813869623]}"
160,0.21035337550194014,-17.858879949022768,-10.038739601185547,6.969359397888184,"{""type"":""Point"",""coordinates"":[75.15570431170507,19.807672300102386]}"
161,0.24247531904647246,-17.755117087816163,-9.015824025206006,7.10905122756958,"{""type"":""Point"",""coordinates"":[77.01068572471392,20.11465499626081]}"
162,0.1667076167076167,-17.5677412284267,-10.12224520381257,7.137197971343994,"{""type"":""Point"",""coordinates"":[77.88120584150846,20.848653259296807]}"
163,0.27079906992570746,-16.905745555828798,-9.117835278626941,5.721895217895508,"{""type"":""Point"",""coordinates"":[74.91539995417581,19.54333512594056]}"
164,0.22691672812840238,-18.32824989240346,-10.0317538642176,6.701842308044434,"{""type"":""Point"",""coordinates"":[77.48858868729637,17.235058559363704]}"
165,0.20980136291141072,-17.434981683481254,-9.869477902691372,7.523071765899658,"{""type"":""Point"",""coordinates"":[74.27186886986979,18.992854132928258]}"
166,0.21353415958651234,-17.51446813247113,-9.91519837573831,7.075599670410156,"{""type"":""Point"",""coordinates"":[75.9709534734795,18.01091707957728]}"
167,0.22259303218599455,-17.811658982467893,-9.179332330506295,6.166658878326416,"{""type"":""Point"",""coordinates"":[76.86873292927622,17.66734795722265]}"
168,0.1458342157651743,-18.120826897385502,-9.75860037825289,4.946043968200684,"{""type"":""Point"",""coordinates"":[74.99077042353935,17.377022235987777]}"
169,0.27436433961067785,-16.388515740775674,-8.993967556331036,7.186024188995361,"{""type"":""Point"",""coordinates"":[77.13636266481377,19.36130149433836]}"
170,0.20071139521096995,-14.708714938619654,-6.940887769526587,8.408387184143066,"{""type"":""Point"",""coordinates"":[73.26996547515293,19.689315671800344]}"
171,0.17670333148690354,-16.72905182416548,-8.947240454331125,3.823335647583008,"{""type"":""Point"",""coordinates"":[73.7661301329862,18.153399178781424]}"
172,0.24747302668938104,-16.50350534111194,-8.50815114478564,7.589032173156738,"{""type"":""Point"",""coordinates"":[77.5765152054774,19.685151222288127]}"
173,0.2446204662797037,-17.25322686432172,-9.536433470066408,6.679797649383545,"{""type"":""Point"",""coordinates"":[76.85449004065066,18.130936979569576]}"
174,0.16422448602753378,-17.913744542910784,-10.182509609930284,7.0407843589782715,"{""type"":""Point"",""coordinates"":[75.46669211704142,18.939117743024198]}"
175,0.19672263480787863,-17.27799054017027,-9.647521639367248,6.564286231994629,"{""type"":""Point"",""coordinates"":[73.5083568965444,20.046200550081846]}"
176,0.15203634129965854,-17.784240158528483,-10.133061318449803,6.009095668792725,"{""type"":""Point"",""coordinates"":[74.30781456967946,18.74553909429851]}"
177,0.2373477672530446,-16.531087545684613,-8.2520530272092,7.161813735961914,"{""type"":""Point"",""coordinates"":[76.28038649331587,19.200895947971755]}"
178,0.1933942950730176,-16.532703221898487,-9.570250386374068,6.49903678894043,"{""type"":""Point"",""coordinates"":[75.40130458088422,20.849751878970434]}"
179,0.23221385552582258,-17.162198497968507,-9.263919353511735,6.314778804779053,"{""type"":""Point"",""coordinates"":[74.31326410691928,18.99902145348319]}"
180,0.2361535018109307,-17.44353629015448,-9.033708578373952,6.998480796813965,"{""type"":""Point"",""coordinates"":[75.45858786976402,19.621574813078578]}"
181,0.11746804625684719,-17.88232211621039,-9.30725601593443,6.909710884094238,"{""type"":""Point"",""coordinates"":[75.51191859913328,19.990759287308872]}"
182,0.157636761487965,-18.232609506091936,-10.592676672019111,7.8238067626953125,"{""type"":""Point"",""coordinates"":[76.07977936558008,18.480663763915505]}"
183,0.19144921193381717,-17.441635522051083,-9.803339698637382,7.547657489776611,"{""type"":""Point"",""coordinates"":[77.84525058107084,20.252877267537173]}"
